Date,Price
30-09-1998,12460.1
30-10-1998,12381.8
30-11-1998,12548.3
31-12-1998,12230.4
29-01-1999,12130.9
26-02-1999,12249.9
31-03-1999,11857.1
30-04-1999,12260.7
31-05-1999,11509.5
30-06-1999,11317.3
30-07-1999,11070
31-08-1999,11075.5
30-09-1999,13034.9
29-10-1999,12977.9
30-11-1999,12649.7
31-12-1999,12631
31-01-2000,12360
29-02-2000,12806.5
31-03-2000,12067.7
28-04-2000,12008
31-05-2000,12135.8
30-06-2000,12872.4
31-07-2000,12459.3
31-08-2000,12678.3
29-09-2000,12597.5
31-10-2000,12387.9
30-11-2000,12608.7
29-12-2000,12811.3
31-01-2001,12271.5
28-02-2001,12416.2
30-03-2001,12015.3
30-04-2001,12323.3
31-05-2001,12575.2
29-06-2001,12729
31-07-2001,12531.9
31-08-2001,12869.2
28-09-2001,14024.8
31-10-2001,13377.2
30-11-2001,13204.7
31-12-2001,13332.8
31-01-2002,13694.4
28-02-2002,14465.5
29-03-2002,14702.3
30-04-2002,15080.2
31-05-2002,16006.7
28-06-2002,15561.9
31-07-2002,14818.2
30-08-2002,15161.4
30-09-2002,15650.9
31-10-2002,15318.9
29-11-2002,15413.3
31-12-2002,16648.2
31-01-2003,17567.8
28-02-2003,16561.2
31-03-2003,15892
30-04-2003,15943.4
30-05-2003,16993
30-06-2003,16078.6
31-07-2003,16368.9
29-08-2003,17217.5
30-09-2003,17754.9
31-10-2003,17504.9
28-11-2003,18232.5
31-12-2003,18991.4
30-01-2004,18106.7
27-02-2004,17906.3
31-03-2004,18397.1
30-04-2004,17276.6
31-05-2004,17849.6
30-06-2004,18196.9
30-07-2004,18151.2
31-08-2004,18874
30-09-2004,19119.9
29-10-2004,19305.1
30-11-2004,20171.8
31-12-2004,18935.5
31-01-2005,18429
28-02-2005,18985.6
31-03-2005,18666.8
29-04-2005,18966
31-05-2005,18130.1
30-06-2005,19005.1
29-07-2005,18635.8
31-08-2005,19102
30-09-2005,20806.4
31-10-2005,21233.2
30-11-2005,22750.3
30-12-2005,23090.1
31-01-2006,25096.1
28-02-2006,24669.7
31-03-2006,25936.8
28-04-2006,28925.3
31-05-2006,30233.9
30-06-2006,28245.5
31-07-2006,29449.2
31-08-2006,29014.6
29-09-2006,27520.6
31-10-2006,27186.9
30-11-2006,28928.2
29-12-2006,27972.3
31-01-2007,28727.4
28-02-2007,29407.5
30-03-2007,28763
30-04-2007,27885.6
31-05-2007,26762.8
29-06-2007,26493.2
31-07-2007,26874.6
31-08-2007,27468
28-09-2007,29606.7
31-10-2007,31045.9
30-11-2007,31046.2
31-12-2007,32862.3
31-01-2008,36353
29-02-2008,38874.6
31-03-2008,37452
30-04-2008,35288.6
30-05-2008,37604.5
30-06-2008,40024
31-07-2008,39083.9
29-08-2008,36597.9
30-09-2008,41540.5
31-10-2008,36135.6
28-11-2008,40794.2
31-12-2008,42374.2
30-01-2009,44945.2
27-02-2009,48685.3
31-03-2009,46498.6
30-04-2009,44193.4
29-05-2009,45960.7
30-06-2009,44767.2
31-07-2009,45025.1
31-08-2009,46652.3
30-09-2009,47900.6
30-10-2009,48843.6
30-11-2009,54690
31-12-2009,50606.8
29-01-2010,49794.3
26-02-2010,51095.9
31-03-2010,50080.4
30-04-2010,52311.5
31-05-2010,55985.7
30-06-2010,57777.6
30-07-2010,54247.4
31-08-2010,58611.8
30-09-2010,58730
29-10-2010,59829.4
30-11-2010,63481.9
31-12-2010,62846.9
31-01-2011,60922.6
28-02-2011,63868.9
31-03-2011,64172.2
29-04-2011,67892.1
31-05-2011,69211.6
30-06-2011,67299.6
29-07-2011,71963.4
31-08-2011,83511.7
30-09-2011,79339.5
31-10-2011,83852.8
30-11-2011,91149.9
30-12-2011,81303.8
31-01-2012,86232.1
29-02-2012,86747.7
30-03-2012,84696.1
30-04-2012,87020.9
31-05-2012,87493.4
29-06-2012,89252.2
31-07-2012,90207.5
31-08-2012,91697.8
28-09-2012,93675.1
31-10-2012,92473.6
30-11-2012,93885.8
31-12-2012,90814.4
31-01-2013,88548
28-02-2013,86422.3
29-03-2013,86864.9
30-04-2013,79142.4
31-05-2013,78768.3
28-06-2013,70834.6
31-07-2013,79928.2
30-08-2013,92151.1
30-09-2013,83045.5
31-10-2013,81366.4
29-11-2013,78300
31-12-2013,74504.3
31-01-2014,78381.4
28-02-2014,82216.5
31-03-2014,77146.5
30-04-2014,77715.9
30-05-2014,73892
30-06-2014,79090.7
31-07-2014,77786.5
29-08-2014,78019.3
30-09-2014,75131
31-10-2014,71484.9
28-11-2014,73395.5
31-12-2014,76125.7
30-01-2015,78053.6
27-02-2015,75031.3
31-03-2015,74283.9
30-04-2015,74963.6
29-05-2015,76090.2
30-06-2015,74569.3
31-07-2015,70427.4
31-08-2015,75449.1
30-09-2015,73123
30-10-2015,74646.8
30-11-2015,70780.9
31-12-2015,70125.6
29-01-2016,75466.2
29-02-2016,84498
31-03-2016,81917.2
29-04-2016,85277.1
31-05-2016,81556.1
30-06-2016,89144
29-07-2016,89893.9
31-08-2016,87680.5
30-09-2016,88052
31-10-2016,84952.4
30-11-2016,80639.7
30-12-2016,77772.2
31-01-2017,82282.4
28-02-2017,83772.1
31-03-2017,80834.3
28-04-2017,81470.7
31-05-2017,81695.2
30-06-2017,80295.9
31-07-2017,81314.9
31-08-2017,83855.2
29-09-2017,83812.1
31-10-2017,82269.2
30-11-2017,82547.3
29-12-2017,82401.3
31-01-2018,85550.2
28-02-2018,85853
30-03-2018,86343.7
30-04-2018,87643
