Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
14-09-2015,INFY,EQ,1090.75,1099,1104,1082.65,1100,1099.75,1095.4,3278538,3.59131E+14,68749,2338742,0.7133
15-09-2015,INFY,EQ,1099.75,1099.4,1103.2,1088.15,1098,1099.2,1098.21,2645943,2.9058E+14,76986,1691768,0.6394
16-09-2015,INFY,EQ,1099.2,1108,1109.75,1098.3,1101,1101.65,1102.88,3739120,4.1238E+14,75566,2778140,0.743
18-09-2015,INFY,EQ,1101.65,1111.8,1117.9,1099.05,1101.3,1104.45,1109.16,5788438,6.4203E+14,99715,4400002,0.7601
21-09-2015,INFY,EQ,1104.45,1100,1108.85,1092.5,1103.95,1104.65,1102.63,2175617,2.3989E+14,58851,1416700,0.6512
22-09-2015,INFY,EQ,1104.65,1115,1135.95,1101.1,1104.4,1107.45,1123.16,4813493,5.40632E+14,125741,3149589,0.6543
23-09-2015,INFY,EQ,1107.45,1107.45,1126.35,1097.45,1117,1116.25,1113.63,2379127,2.64947E+14,57336,1230658,0.5173
24-09-2015,INFY,EQ,1116.25,1113.5,1152.7,1110,1141.25,1140.55,1138.27,6699631,7.62601E+14,172169,4696664,0.701
28-09-2015,INFY,EQ,1140.55,1139.95,1142.85,1101,1106.2,1105.55,1114.37,4894232,5.45397E+14,125955,3334033,0.6812
29-09-2015,INFY,EQ,1105.55,1102,1133.4,1097.5,1117,1121.85,1119.84,4349685,4.87097E+14,101045,2368692,0.5446
30-09-2015,INFY,EQ,1121.85,1134.4,1168.95,1125.95,1157,1161.95,1151.23,4747846,5.46584E+14,111323,3106382,0.6543
01-10-2015,INFY,EQ,1161.95,1169.9,1197.75,1160,1173.05,1173.05,1179.45,5432197,6.40699E+14,141361,3243441,0.5971
05-10-2015,INFY,EQ,1173.05,1173,1189.35,1162,1181.1,1181.75,1176.75,3440880,4.04905E+14,124032,2048583,0.5954
06-10-2015,INFY,EQ,1181.75,1187.05,1192.55,1148.1,1157,1154.6,1160.82,4355940,5.05646E+14,159201,2862268,0.6571
07-10-2015,INFY,EQ,1154.6,1156,1168.75,1128.45,1139,1133.2,1147.22,4591244,5.26715E+14,140151,3368903,0.7338
08-10-2015,INFY,EQ,1133.2,1136.4,1149.6,1126.05,1132.7,1132.15,1136.18,4540437,5.15875E+14,166680,3316675,0.7305
09-10-2015,INFY,EQ,1132.15,1136,1172.9,1136,1170.9,1167.4,1154.34,5891069,6.80031E+14,172120,3660285,0.6213
12-10-2015,INFY,EQ,1167.4,1199,1219.8,1109,1122.9,1122.9,1145.31,15202485,1.74115E+15,347437,5258181,0.3459
13-10-2015,INFY,EQ,1122.9,1107.45,1111,1085.2,1098.1,1099.4,1097.14,7663431,8.40786E+14,286593,4019557,0.5245
14-10-2015,INFY,EQ,1099.4,1091.45,1115.55,1087.2,1096,1097.6,1104.2,4432755,4.89463E+14,158291,2478570,0.5591
15-10-2015,INFY,EQ,1097.6,1099.9,1104.35,1089.1,1096.9,1097.35,1096.26,4127833,4.52518E+14,184169,2599954,0.6299
16-10-2015,INFY,EQ,1097.35,1099,1101.4,1090,1093,1094.9,1094.85,3209496,3.51392E+14,74364,1874068,0.5839
19-10-2015,INFY,EQ,1094.9,1102,1116,1100.5,1114.7,1111.95,1109.22,3673747,4.07499E+14,128555,2537719,0.6908
20-10-2015,INFY,EQ,1111.95,1113,1130,1110.6,1126.3,1125.95,1121.86,4394155,4.92963E+14,101555,3233998,0.736
